ID_author;automated_readability_index;coleman_liau_index;flesch_kincaid_grade_level;flesch_reading_ease;gulpease_index;gunning_fog_index;lix;smog_index;wiener_sachtextformel
50;6,50546E+16;7,31E+15;6,75E+15;7,49E+15;6,54E+15;9,95E+15;3,57E+16;9,96E+15;3,65E+15
50;6,8109E+15;8,00E+15;5,64E+15;8,18E+15;6,49E+15;8,07E+15;3,16E+16;8,08E+14;2,23E+16
52;5,58923E+16;5,38E+15;6,06E+15;8,25E+15;6,73E+15;8,75E+15;2,98E+16;8,18E+14;1,89E+15
52;6,37965E+15;7,24E+16;6,79E+16;7,43E+15;6,57E+15;9,30E+14;3,20E+15;9,35E+15;2,97E+16
84;4,0478E+15;2,59E+15;1,88E+16;9,73E+15;8,60E+15;4,48E+15;1,87E+16;57366;-4,18E+15
84;1,19184E+16;3,31E+16;2,44E+15;9,50E+15;8,20E+15;5,69E+15;2,13E+15;6,90E+16;3,00E+15
113;4,48736E+15;7,15E+14;5,24E+14;7,64E+15;7,35E+15;8,01E+15;3,14E+15;8,84E+15;3,19E+14
113;-4,21227E+15;-6,78E+15;-5,72E+15;1,04E+16;1,64E+16;4,74E+15;1,18E+16;5,99E+15;-4,50E+15
148;8,47094E+15;1,12E+16;7,29E+15;6,56E+15;6,25E+15;1012;3,73E+15;1,04E+16;4,68E+15
148;5,60874E+15;7,81E+15;6,02E+15;7,41E+14;6,89E+15;8,19E+15;3,30E+15;8,84E+15;3,15E+16
161;-2,12952E+16;1,96E+16;1,86E+16;9,63E+15;8,93E+15;4,85E+15;1,93E+15;6,38E+14;-2,49E+16
161;6,77138E+15;8,31E+15;5,73E+14;7,98E+15;6,52E+15;9,25E+15;2,83E+15;9,52E+15;2,47E+16
174;5,16926E+14;7,03E+16;5,60E+15;7,80E+14;6,94E+14;8,15E+15;3,18E+16;8,73E+15;2,70E+16
174;1,025E+16;3,38E+16;3,04E+16;8,89E+15;8,48E+15;5,94E+15;2,62E+16;73011;1,43E+16
190;7,34073E+16;5,41E+15;748;7,94E+15;64625;9,78E+15;3,38E+15;7,79E+15;2,31E+16
190;5,42667E+16;8,25E+15;6,54E+16;6,74E+15;7,12E+15;9,51E+15;3,12E+16;9,89E+15;3,84E+15
198;8,78354E+15;1,27E+16;6,81E+15;6,43E+15;6,52E+15;1,08E+16;3,13E+16;1,06E+16;4,53E+15
198;6,28957E+15;8,05E+15;5,35E+15;8,13E+15;6,65E+15;7,26E+15;3,55E+15;7,55E+15;2,72E+15
228;1,16089E+16;1,62E+16;7,63E+15;5,83E+15;5,93E+16;1,03E+16;4,73E+16;1,03E+16;6,67E+15
228;6,99792E+15;2,92E+16;2,92E+15;9,02E+15;8,49E+15;6,10E+16;2,36E+16;7,41E+15;1,07E+16
235;9,87164E+15;2,75E+16;3,19E+15;9,12E+15;8,08E+15;6,32E+16;2,09E+16;7,35E+15;5,24E+14
235;2,39058E+15;3,78E+16;4,06E+14;8,82E+15;7,57E+15;6,96E+15;2,42E+15;7,61E+14;9,80E+14
254;3,75755E+15;5,32E+15;4,50E+15;8,57E+15;7,25E+15;7,33E+15;2,56E+16;7,92E+15;1,37E+16
254;3,40909E+16;1,82E+16;2,65E+15;9,57E+15;8,17E+15;5,61E+15;1,55E+16;6,43E+14;-6,34E+15
275;7,66698E+15;2,59E+15;2,86E+15;9,30E+15;8,18E+14;5,96E+15;1,94E+15;7,05E+15;1,83E+15
275;3,55913E+16;4,64E+15;4,50E+15;8,74E+15;7,23E+15;7,84E+15;2,83E+15;8,24E+15;1,73E+16
277;1,8299E+15;3,55E+16;3,06E+16;9,33E+15;7,81E+15;6,30E+15;2,02E+15;7,17E+16;2,29E+15
277;3,79659E+16;7,04E+16;4,03E+15;7,99E+15;8,25E+15;8,27E+14;3,18E+15;8,84E+15;3,62E+16
