ID_author;liwc_1st_pers;liwc_2nd_pers;liwc_3rd_pers;liwc_achievement;liwc_adverbs;liwc_affective_processes;liwc_anger;liwc_anxiety;liwc_articles_article;liwc_assent;liwc_auxiliary_verbs;liwc_biological;liwc_body;liwc_causation;liwc_certainty;liwc_cognitive;liwc_common_verbs;liwc_conjunctions;liwc_death;liwc_discrepancy;liwc_exclusive;liwc_family;liwc_feel;liwc_fillers;liwc_friends;liwc_future_tense;liwc_health;liwc_hear;liwc_home;liwc_humans;liwc_impersonal_pronouns;liwc_inclusive;liwc_ingestion;liwc_inhibition;liwc_insight;liwc_leisure;liwc_money;liwc_motion;liwc_negations;liwc_negative_emotion;liwc_nonfluencies;liwc_numbers;liwc_past_tense;liwc_perceptual_processes;liwc_personal_pronouns;liwc_positive_emotion;liwc_prepositions;liwc_present_tense;liwc_quantifiers;liwc_relativity;liwc_religion;liwc_sadness;liwc_see;liwc_sexual;liwc_social_processes;liwc_space;liwc_swear_words;liwc_tentative;liwc_time;liwc_total_functional;liwc_total_pronouns;liwc_work
50;0;0;0;0;4;1;0;0;12;0;18;4;1;4;0;37;35;13;0;13;10;0;0;0;0;4;3;2;0;0;11;7;0;0;5;0;0;3;4;1;0;1;3;2;25;0;34;24;2;27;0;0;0;1;6;15;1;7;9;120;36;4
50;0;0;1;3;2;1;0;0;5;0;6;2;2;3;0;13;9;4;0;3;2;0;0;0;0;0;0;0;0;0;3;3;0;0;4;1;0;0;0;0;0;2;0;0;4;1;4;6;3;3;0;0;0;0;3;1;0;1;2;30;7;1
52;5;1;2;3;38;22;3;3;43;0;32;1;0;5;4;76;72;26;0;5;13;3;11;2;2;0;1;1;0;0;36;18;0;1;21;1;1;15;6;7;0;4;17;12;47;15;71;51;16;85;0;1;0;0;22;42;0;12;26;299;83;8
52;3;1;2;4;12;26;1;3;11;1;24;5;0;5;1;41;42;12;0;3;11;0;2;3;0;4;5;0;0;0;21;12;0;1;6;0;0;3;6;6;0;2;3;4;16;20;36;31;5;27;0;3;1;0;10;11;1;7;14;136;37;4
84;0;0;0;6;12;11;1;0;8;0;13;6;6;0;2;35;37;18;0;5;5;0;5;3;1;2;0;0;1;0;6;11;0;1;7;5;2;6;6;2;0;4;2;7;21;9;20;33;9;31;0;1;2;0;1;8;1;4;20;106;27;2
84;0;3;0;3;14;14;1;2;12;0;26;7;6;1;1;25;42;19;0;2;5;0;1;2;2;1;1;1;0;2;8;9;0;0;4;0;0;4;3;5;0;1;18;2;24;9;17;22;5;33;0;0;0;0;12;7;0;5;23;119;32;5
113;0;0;0;0;2;1;0;0;2;0;4;3;0;0;1;8;9;3;0;1;1;0;0;1;0;0;3;0;0;0;6;2;0;0;3;0;0;1;2;0;0;0;3;0;5;1;2;6;0;10;0;0;0;0;0;1;0;1;7;24;11;0
113;0;0;0;0;1;0;0;0;1;0;2;0;0;1;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;2;0;0;0;0;1;1;0;0;1;7;1;0
148;2;2;2;1;7;12;3;0;16;0;18;7;4;3;0;19;23;7;0;4;3;0;1;0;0;1;3;0;0;0;8;4;0;0;4;1;0;2;0;11;0;1;0;2;9;1;29;22;5;20;0;8;1;0;10;14;0;7;2;98;17;3
148;0;2;1;0;2;9;0;0;12;0;10;4;0;2;0;15;19;6;0;2;1;0;1;0;0;1;2;0;0;0;4;4;0;0;3;1;2;0;0;1;0;1;1;2;4;5;17;14;2;10;0;1;1;2;10;8;0;2;1;55;8;3
161;0;1;0;3;7;9;2;2;15;1;25;4;2;2;3;38;49;14;1;11;10;0;2;0;0;4;2;0;1;1;8;7;0;0;6;2;0;6;12;6;0;3;10;5;35;3;34;33;4;36;0;1;3;0;13;9;0;3;18;143;43;3
161;0;0;0;3;2;2;0;0;2;0;4;3;1;2;0;11;7;5;0;3;1;0;1;0;0;1;1;1;0;0;3;4;1;0;1;0;0;0;2;1;0;2;2;2;3;1;6;4;0;3;0;0;0;0;1;1;0;2;2;26;6;1
174;1;4;2;6;13;20;0;1;10;2;27;14;1;3;2;56;55;24;0;6;14;0;4;1;0;1;13;1;1;0;17;10;0;8;14;0;0;2;9;9;1;3;11;8;31;9;31;40;10;32;0;4;2;0;12;9;0;8;18;162;48;5
174;0;0;0;1;8;7;1;0;6;0;16;2;0;1;0;17;33;4;1;5;1;0;6;0;0;0;2;0;0;1;6;1;0;1;9;0;1;1;5;7;0;0;4;7;23;0;11;26;2;9;0;5;1;0;4;3;0;0;5;76;29;0
190;0;0;0;3;4;3;0;0;2;0;7;1;1;1;0;5;11;4;0;1;2;0;1;0;0;1;0;0;0;0;2;0;0;0;1;0;0;1;1;1;0;0;0;1;4;1;10;9;1;12;0;1;0;0;0;2;0;0;9;33;6;3
190;0;1;1;1;2;4;0;0;2;0;5;0;0;0;0;4;7;4;0;0;0;0;0;0;0;0;0;0;0;0;5;4;0;0;0;0;0;0;0;2;0;0;1;0;4;2;5;6;0;5;0;0;0;0;6;1;0;0;3;26;9;1
198;0;1;1;0;1;5;1;0;6;0;3;1;0;0;1;7;4;4;0;0;0;0;0;0;0;0;1;0;0;4;1;4;0;0;1;3;0;0;1;2;0;0;0;1;4;3;11;4;4;7;0;0;1;0;6;4;0;0;3;32;5;0
198;0;0;1;0;3;1;0;0;2;0;4;3;1;0;0;10;7;6;0;1;4;0;0;1;0;1;0;0;0;0;3;4;2;0;1;0;0;0;1;0;0;1;0;0;4;1;11;5;0;7;0;0;0;0;2;3;0;2;5;35;7;1
228;0;1;7;6;11;15;0;2;36;1;20;25;0;11;2;62;40;23;5;5;0;0;0;2;1;3;25;0;0;0;18;23;0;4;12;6;0;4;1;6;1;3;14;4;15;7;65;18;8;36;0;3;4;0;20;23;0;5;10;189;33;15
228;1;0;0;0;9;5;3;0;11;0;12;6;1;1;1;21;27;13;0;3;6;0;0;0;0;1;2;0;0;0;5;7;2;1;3;1;0;3;4;3;0;0;13;0;19;2;16;12;4;16;0;0;0;1;7;6;2;1;7;82;24;1
235;0;1;2;1;14;13;1;1;7;0;15;1;0;2;2;43;32;32;0;3;13;1;1;1;0;1;1;2;0;0;12;19;0;0;3;1;1;1;7;8;1;0;8;4;22;5;31;21;3;37;0;1;1;0;8;16;0;5;18;131;34;2
235;0;0;0;0;14;9;0;1;10;0;11;1;0;1;1;27;24;15;0;2;7;0;2;1;2;1;1;1;0;2;5;8;0;1;6;1;1;3;6;3;0;0;9;3;19;6;14;12;6;24;0;1;0;0;9;6;0;5;16;87;24;0
254;2;1;0;7;37;24;2;3;25;0;60;9;2;5;5;100;109;47;2;12;16;3;4;6;0;6;4;2;1;0;37;34;3;1;17;4;0;11;15;8;1;1;28;11;59;16;79;64;21;81;0;1;3;0;24;30;0;17;46;348;96;17
254;0;0;0;0;4;0;0;0;2;0;5;8;7;1;0;10;14;4;0;3;3;0;0;0;0;1;3;0;0;0;2;1;0;1;2;0;0;1;2;0;0;0;2;1;5;0;6;11;2;8;0;0;1;0;0;3;0;3;4;29;7;1
275;0;0;0;0;6;7;0;1;9;1;11;4;3;1;2;29;31;6;0;7;5;0;1;1;0;4;0;2;0;0;15;6;0;1;6;1;1;5;4;1;0;0;2;5;20;6;20;24;5;27;0;0;1;1;14;14;0;2;9;92;35;0
275;0;0;1;2;2;3;1;0;4;0;9;2;1;0;0;6;13;3;0;1;3;0;0;0;0;0;1;1;0;0;5;0;0;1;1;0;0;0;3;3;0;0;7;1;9;0;8;6;5;7;0;1;0;0;2;3;1;1;4;43;14;4
277;0;0;0;3;5;11;3;0;2;0;6;5;1;1;2;16;16;7;0;2;6;0;0;0;1;0;0;0;0;0;4;5;3;0;0;4;0;1;5;5;0;0;0;1;5;6;7;15;0;7;0;1;1;1;1;3;1;1;3;38;9;3
277;0;0;0;2;1;1;0;0;4;0;6;2;0;1;0;8;7;5;0;0;1;0;0;0;0;0;1;0;0;0;1;6;1;0;0;0;0;1;2;1;0;0;1;0;4;0;5;6;1;4;0;1;0;0;1;3;0;0;0;27;5;2
283;0;0;0;2;6;6;2;0;7;0;8;2;0;2;0;16;15;9;0;1;4;0;2;2;0;2;1;0;0;1;3;3;1;0;5;1;0;2;2;4;0;0;2;2;10;2;5;11;1;7;0;1;0;0;1;3;0;2;4;46;13;0
