ID_author;sent_neg;sent_neu;sent_pos;sent_compound
50;5,20E+16;885;63;-3204
50;0;953;47;4291
52;81;787;132;9843
52;8,80E+15;67;242;9924
84;9;759;152;911
84;86;735;179;9743
113;0;926;7,40E+15;5588
113;0;10;0;0
148;138;813;49;-9451
148;57;659;284;984
161;189;745;67;-9835
161;0;87;13;8074
174;166;711;123;-9186
174;239;6,92E+15;69;-9776
190;155;8,17E+15;28;-7969
190;134;705;161;1531
198;55;84;105;3913
198;0;865;135;8253
228;179;7,39E+15;8,20E+15;-9929
228;7,20E+15;879;49;-4864
235;219;67;11;-9852
235;117;725;158;6816
254;102;797;1;-8006
254;53;925;22;-4215
275;97;785;118;5807
275;76;8,08E+15;116;6933
277;317;616;68;-9559
277;149;8,22E+15;28;-7566
283;158;7,61E+15;81;-8054
283;111;831;59;-6969
298;102;7,86E+15;112;6765
298;38;833;129;9819
320;8,90E+15;862;48;-6299
320;0;10;0;0
426;28;684;2,88E+16;9988
426;12;77;11;-5911
447;5;83;12;7112
447;0;583;417;6124
485;149;738;113;-2335
485;138;792;7;-8677
514;58;815;127;8698
514;0;948;5,20E+16;3094
534;21;8,11E+15;168;9787
534;0;10;0;0
580;246;67;84;-9988
580;215;662;123;-9462
590;184;687;129;-6582
590;104;818;79;-509
597;145;779;76;-9047
597;3,60E+16;782;182;9939
602;68;858;7,40E+15;214
602;139;693;168;3574
660;1,64E+16;758;78;-9568
660;8,90E+15;8,22E+15;8,90E+15;0
692;195;636;1,69E+16;-7736
692;149;7;151;3266
702;163;802;35;-9861
702;105;6,68E+15;227;8385
717;1,80E+16;911;71;6421
717;129;812;6;-8056
737;123;738;139;8201
737;131;6,99E+15;17;4215
759;76;8,06E+15;118;4398
759;115;84;45;-7779
825;22;962;16;-979
825;219;7,24E+15;57;-733
855;97;8,42E+15;61;-7422
855;42;887;7,20E+15;4679
864;185;752;63;-9666
864;162;838;0;-9319
891;165;7,29E+15;106;-9755
891;15;718;132;-8659
894;47;836;117;9257
894;3;828;142;7655
897;5,40E+16;78;166;9915
897;116;779;105;1497
905;5;835;115;8,29E+15
905;51;758;191;7241
911;163;8,37E+15;0;-8934
911;71;601;328;9605
941;62;711;227;8762
941;0;858;142;7975
987;185;727;8,80E+15;-9725
987;151;7,07E+15;142;19
1004;276;621;103;-9936
1004;107;762;131;5647
1067;124;7,44E+15;132;5301
1067;259;6,89E+15;5,20E+16;-9866
1071;152;7,34E+15;114;-938
