ID_author;economic_stress_total;isolation_total;substance_use_total;guns_total;domestic_stress_total;suicidality_total;punctuation
50;1;0;1;0;0;0;180
50;0;0;0;0;0;0;40
52;2;0;0;0;0;0;960
52;3;0;0;0;0;0;400
84;1;0;1;0;0;0;370
84;1;0;0;0;0;0;250
113;0;0;0;0;0;0;110
113;0;0;0;0;0;0;70
148;0;0;1;0;1;0;540
148;0;0;0;0;0;0;150
161;0;0;2;1;0;1;490
161;0;0;0;0;0;0;160
174;0;0;1;0;0;0;420
174;0;0;2;0;0;0;140
190;0;0;0;0;0;0;40
190;0;0;0;0;0;0;40
198;0;0;0;0;0;0;260
198;0;0;0;0;0;0;70
228;1;1;0;0;0;6;2640
228;1;0;1;0;0;0;240
235;1;0;0;0;0;0;180
235;1;0;1;0;0;0;120
254;4;0;3;0;1;0;650
254;0;0;0;0;0;0;70
275;0;0;0;0;0;0;240
275;2;0;1;0;0;0;100
277;0;0;2;0;0;0;100
277;0;0;0;0;0;0;80
283;0;0;2;0;0;0;90
283;0;0;0;0;0;0;90
298;0;0;0;0;0;0;340
298;0;0;2;0;0;0;300
320;2;0;0;0;0;0;80
320;3;0;0;0;0;0;20
426;0;0;0;0;0;0;210
426;2;0;1;0;0;1;160
447;1;0;1;0;0;0;80
447;0;0;0;0;0;0;10
485;0;0;0;0;0;2;290
485;1;0;0;0;0;1;180
514;0;0;0;0;0;0;160
514;0;0;0;0;0;0;60
534;0;0;0;0;0;0;130
534;0;0;0;0;0;0;30
580;1;0;1;0;0;0;540
580;1;0;1;0;0;0;150
590;2;2;0;0;0;0;140
590;0;0;0;0;0;0;80
597;2;0;0;0;0;2;430
597;0;0;0;0;0;0;350
602;0;0;4;0;0;0;80
602;0;0;0;0;0;0;60
660;1;0;0;0;0;0;320
660;0;0;0;0;0;0;30
692;0;0;0;0;0;1;130
692;0;0;0;0;0;0;90
702;0;0;0;0;0;0;380
702;1;1;0;0;0;0;100
717;0;0;0;0;0;0;190
